"","cause.x","effect.x","CCMmatchList","AggmatchList","foodmatchList","lowermatchList","cantEmbeddingmatchList","linearitymatchList","SmapMean","causepopmean","effectpopmean","causepopsd","effectpopsd","causehabitat","effecthabitat","smapmin","smapX1st","smapmedian","smapmean","smapX3rd","smapmax","strength"
"540","Lam. lem","Int. loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541","Lep. mim","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","Lep. pro","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543","Lam. tan","Int. loo","present",NA,NA,NA,NA,NA,0.523850542940096,36.625,19.7,35.7962091532552,15.8214395273612,"Unicellular_algae_feeder","Unicellular_algae_feeder",-0.278376930782722,0.404592730828177,0.56511349660767,0.523850542940096,0.659523808966268,0.922496768077991,"positive"
"544","Lat. M","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","M. spp","Int. loo",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"546","Neo. bus","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","Neo. cau","Int. loo",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548","Neo. cyl","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","Neo. fas","Int. loo","present",NA,NA,NA,NA,NA,0.181999261239148,64.1,19.7,16.6576385804508,15.8214395273612,"Shrimp_feeder","Unicellular_algae_feeder",-0.171091424912291,0.0869541992140644,0.17619280035359,0.181999261239148,0.294331781611499,0.548557668485978,"positive"
"550","Neo. fur","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","Neo. mus","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","Neo. obs","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","Neo. pet","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","Neo. pro","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","Neo. pul","Int. loo",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","Neo. sav","Int. loo",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","Neo. sex","Int. loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558","Neo. tet","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"559","Oph. ven","Int. loo","present",NA,NA,NA,NA,NA,-0.132104020549995,77.95,19.7,37.3925469058015,15.8214395273612,"Detritus_feeder","Unicellular_algae_feeder",-0.454604218691413,-0.206689123445799,-0.115236206784404,-0.132104020549995,-0.0446542155500331,0.0948975735804029,"negative"
"560","Par. spp","Int. loo","present",NA,NA,NA,NA,NA,0.180241659909447,54.325,19.7,88.0132238024637,15.8214395273612,"Zooplankton_feeder","Unicellular_algae_feeder",-0.389882531207943,-0.0465954196822578,0.1745569615582,0.180241659909447,0.37110454936605,0.842080231106417,"positive"
"561","Pse. cur","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"562","Pet. fam","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","Pet. fas","Int. loo",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","Per. mic","Int. loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","Pet. pol","Int. loo","present",NA,NA,NA,NA,NA,-0.0563462810145857,7.825,19.7,4.38463225367875,15.8214395273612,"Unicellular_algae_feeder","Unicellular_algae_feeder",-0.38882476301699,-0.184931968386301,-0.0431505307086764,-0.0563462810145857,0.0785228052140828,0.388134489285925,"negative"
"566","Pet. hor","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","Per. str","Int. loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568","Pet. tre","Int. loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","Sim. dia","Int. loo",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570","Syn. mul","Int. loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","Tro. moo","Int. loo","present",NA,NA,NA,NA,NA,-0.140732198877313,72.425,19.7,25.720277842739,15.8214395273612,"Filamentous_algae_feeder","Unicellular_algae_feeder",-0.345475345456111,-0.233440158980824,-0.150372419569379,-0.140732198877313,-0.0645124018929779,0.129091578021375,"negative"
"572","Tel. tem","Int. loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573","Tel. vit","Int. loo","present",NA,NA,NA,NA,NA,-0.365181798486468,159.55,19.7,47.1908020155601,15.8214395273612,"Filamentous_algae_feeder","Unicellular_algae_feeder",-1.24244605649443,-0.636920149393713,-0.236902371576285,-0.365181798486468,-0.0570784852959948,0.171366629570846,"negative"
"574","Var. moo","Int. loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","Xen. pap","Int. loo","present",NA,NA,NA,NA,NA,-0.358765649154631,5.575,19.7,3.29636551993641,15.8214395273612,"Filamentous_algae_feeder","Unicellular_algae_feeder",-0.869575564893726,-0.466807929745776,-0.428146839895369,-0.358765649154631,-0.273275570415726,0.058689785659832,"negative"
"576","Xen. sim","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","Xen. spi","Int. loo",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578","Xen. fla","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","Xen. bou","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580","Xen. sp","Int. loo",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581","Alt. com","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","Aul. dew","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583","Cya. spp","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","Cte. hor","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","Cyp. spp","Jul. orn",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","Cun. lon","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","Ere. cya","Jul. orn",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","Gna. pfe","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","Hap. mic","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","Int. loo","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","Lep. att","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592","Lam. cal","Jul. orn","present",NA,NA,NA,NA,NA,0.78157894499703,11.55,23.275,10.652915816086,16.4970665613073,"Shrimp_feeder","Sponge_feeder",-0.145243112423617,0.426456023691783,0.722024594383517,0.78157894499703,1.04762757506647,2.69247306137923,"positive"
"593","Lep. cun","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594","Lim. dar","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595","Lep. elo","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","Lep. ken","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","Lob. lab","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598","Lam. lem","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","Lep. mim","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600","Lep. pro","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601","Lam. tan","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"602","Lat. M","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603","M. spp","Jul. orn",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604","Neo. bus","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","Neo. cau","Jul. orn",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606","Neo. cyl","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","Neo. fas","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608","Neo. fur","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"609","Neo. mus","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610","Neo. obs","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611","Neo. pet","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612","Neo. pro","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613","Neo. pul","Jul. orn",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","Neo. sav","Jul. orn",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","Neo. sex","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","Neo. tet","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","Oph. ven","Jul. orn","present",NA,NA,NA,NA,NA,0.184238453897271,77.95,23.275,37.3925469058015,16.4970665613073,"Detritus_feeder","Sponge_feeder",-0.306298044844181,0.0319246739915668,0.184950897575197,0.184238453897271,0.338478127769231,0.706409608366411,"positive"
"618","Par. spp","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","Pse. cur","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","Pet. fam","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","Pet. fas","Jul. orn",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","Per. mic","Jul. orn","present",NA,NA,NA,NA,NA,-0.206211136929903,30.975,23.275,18.5810594216468,16.4970665613073,"Scale_feeder","Sponge_feeder",-1.82154687016329,-0.373325826867447,-0.198849779583213,-0.206211136929903,0.108910937240594,0.496191024505229,"negative"
"623","Pet. pol","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","Pet. hor","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","Per. str","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","Pet. tre","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","Sim. dia","Jul. orn",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628","Syn. mul","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Tro. moo","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","Tel. tem","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","Tel. vit","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","Var. moo","Jul. orn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633","Xen. pap","Jul. orn","present",NA,NA,NA,NA,NA,-0.154004235242261,5.575,23.275,3.29636551993641,16.4970665613073,"Filamentous_algae_feeder","Sponge_feeder",-1.17035879312808,-0.384179574984456,-0.155495044780786,-0.154004235242261,0.0265021517583985,0.878020172866539,"negative"
"634","Xen. sim","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","Xen. spi","Jul. orn",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","Xen. fla","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637","Xen. bou","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","Xen. sp","Jul. orn",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","Alt. com","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","Aul. dew","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641","Cya. spp","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","Cte. hor","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","Cyp. spp","Lep. att",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","Cun. lon","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","Ere. cya","Lep. att",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646","Gna. pfe","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","Hap. mic","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","Int. loo","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","Jul. orn","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650","Lam. cal","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"651","Lep. cun","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","Lim. dar","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","Lep. elo","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","Lep. ken","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","Lob. lab","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656","Lam. lem","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","Lep. mim","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","Lep. pro","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","Lam. tan","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660","Lat. M","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","M. spp","Lep. att",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","Neo. bus","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","Neo. cau","Lep. att",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664","Neo. cyl","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665","Neo. fas","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","Neo. fur","Lep. att",NA,"present",NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","Neo. mus","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","Neo. obs","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","Neo. pet","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","Neo. pro","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","Neo. pul","Lep. att",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","Neo. sav","Lep. att",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","Neo. sex","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","Neo. tet","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","Oph. ven","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","Par. spp","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","Pse. cur","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678","Pet. fam","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","Pet. fas","Lep. att",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","Per. mic","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","Pet. pol","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","Pet. hor","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","Per. str","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","Pet. tre","Lep. att","present",NA,NA,NA,NA,NA,0.143083905228696,24.675,3.775,8.13472297922418,6.14144182519933,"Unicellular_algae_feeder","Fry_feeder",0.100924595704416,0.141644166010126,0.144604520750337,0.143083905228696,0.14760575383276,0.179879694260134,"positive"
"685","Sim. dia","Lep. att",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","Syn. mul","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","Tro. moo","Lep. att","present",NA,NA,NA,NA,NA,0.203692710383636,72.425,3.775,25.720277842739,6.14144182519933,"Filamentous_algae_feeder","Fry_feeder",0.0914525418226682,0.19662588466924,0.201746401777471,0.203692710383636,0.214746173396813,0.246205169331402,"positive"
"688","Tel. tem","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689","Tel. vit","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","Var. moo","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","Xen. pap","Lep. att",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692","Xen. sim","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","Xen. spi","Lep. att",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","Xen. fla","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","Xen. bou","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","Xen. sp","Lep. att",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","Alt. com","Lam. cal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","Aul. dew","Lam. cal","present",NA,NA,NA,NA,NA,0.235296771684571,32.8,11.55,34.4563640803992,10.652915816086,"Detritus_feeder","Shrimp_feeder",-0.723548400719315,-0.141271400784844,0.0897223139502968,0.235296771684571,0.461317939585444,2.31509632627562,"positive"
"699","Cya. spp","Lam. cal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","Cte. hor","Lam. cal",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","Cyp. spp","Lam. cal",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","Cun. lon","Lam. cal",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","Ere. cya","Lam. cal",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
