,cause,effect,CCMmatchList,AggmatchList,foodmatchList,lowermatchList,cantEmbeddingmatchList,linearitymatchList,SmapMean,causepopmean,effectpopmean,causepopsd,effectpopsd,causehabitat,effecthabitat,smapmin,smapX1st,smapmedian,smapmean,smapX3rd,smapmax,strength,Strength,ratio,Smap_cum_sum,Smap_abs_mean,Neg,Pos
88,Xen.pap,Per.mic,persistence,NA,NA,NA,NA,NA,-0.01420662238,5.575,30.975,3.29636552,18.58105942,Filamentous_algae_feeder,Scale_feeder,-0.3193636149,-0.07630987388,-0.006474194922,-0.01420662238,0.06072669164,0.2014371615,negative,Negative,0.5526315789,0.5398516505,0.08485575082,1,0
89,Lam.lem,Pet.pol,persistence,NA,NA,NA,NA,NA,0.4191524742,3.125,7.825,2.311481931,4.384632254,Fish_feeder,Unicellular_algae_feeder,-0.1840089658,0.261641716,0.4707467301,0.4191524742,0.6173307287,0.7476526706,positive,Positive,0.9210526316,15.92779402,0.4307727564,0,1
90,Lam.tan,Pet.pol,persistence,NA,NA,NA,NA,NA,-0.2381005335,36.625,7.825,35.79620915,4.384632254,Unicellular_algae_feeder,Unicellular_algae_feeder,-1.766432394,-0.2917726044,-0.2066978188,-0.2381005335,-0.08740746152,0.6069695156,negative,Negative,0.8157894737,9.047820272,0.3138969188,1,0
91,Tel.vit,Pet.pol,persistence,NA,NA,NA,NA,NA,0.08479294873,159.55,7.825,47.19080202,4.384632254,Filamentous_algae_feeder,Unicellular_algae_feeder,-0.7258694502,-0.1833774817,0.08081255796,0.08479294873,0.4070582034,0.8595913621,positive,Positive,0.6052631579,3.222132052,0.3361141193,0,1
92,Var.moo,Pet.pol,persistence,NA,NA,NA,NA,NA,-0.2297713607,129.15,7.825,30.64063834,4.384632254,Microfilamentous_algae_feeder,Unicellular_algae_feeder,-0.6862375493,-0.3042993648,-0.2116510947,-0.2297713607,-0.1165633702,0.01889060476,negative,Negative,0.9736842105,8.731311708,0.2307656031,1,0
93,Aul.dew,Pet.tre,persistence,NA,NA,NA,NA,NA,-0.05046467042,32.8,24.675,34.45636408,8.134722979,Detritus_feeder,Unicellular_algae_feeder,-0.3259468183,-0.1806670581,-0.06455724671,-0.05046467042,0.02318785241,0.3255399307,negative,Negative,0.6315789474,1.917657476,0.1407666397,1,0
94,Per.mic,Pet.tre,persistence,NA,NA,NA,NA,NA,-0.2371769293,30.975,24.675,18.58105942,8.134722979,Scale_feeder,Unicellular_algae_feeder,-0.5694046304,-0.3567759226,-0.2678352375,-0.2371769293,-0.1378617443,0.1625292306,negative,Negative,0.9473684211,9.012723312,0.2523076419,1,0
95,Tel.vit,Pet.tre,persistence,NA,NA,NA,NA,NA,-0.2317209515,159.55,24.675,47.19080202,8.134722979,Filamentous_algae_feeder,Unicellular_algae_feeder,-0.7515167742,-0.3697286629,-0.2246780941,-0.2317209515,-0.08613833345,0.4261905487,negative,Negative,0.8684210526,8.805396157,0.2659506934,1,0
96,Neo.fas,Syn.mul,persistence,NA,NA,NA,NA,NA,-0.3897324378,64.1,5.275,16.65763858,4.651922679,Shrimp_feeder,Microfilamentous_algae_feeder,-1.962453017,-0.9962215043,-0.3058066065,-0.3897324378,0.1560360681,1.101906308,negative,Negative,0.5789473684,14.80983263,0.7414944778,1,0
97,Neo.sex,Syn.mul,persistence,NA,NA,NA,NA,NA,0.5850067742,3.825,5.275,4.012081115,4.651922679,Zoobenthos_feeder,Microfilamentous_algae_feeder,-0.7832643209,0.149492866,0.6477620041,0.5850067742,1.066998935,2.05692415,positive,Positive,0.8157894737,22.23025742,0.7217793879,0,1
98,Tel.vit,Syn.mul,persistence,NA,NA,NA,NA,NA,-0.3299086624,159.55,5.275,47.19080202,4.651922679,Filamentous_algae_feeder,Microfilamentous_algae_feeder,-3.681735802,-0.8298981762,-0.1387522415,-0.3299086624,0.1297847228,2.283665927,negative,Negative,0.6052631579,12.53652917,0.7110401825,1,0
99,Xen.pap,Syn.mul,persistence,NA,NA,NA,NA,NA,0.2196552732,5.575,5.275,3.29636552,4.651922679,Filamentous_algae_feeder,Microfilamentous_algae_feeder,-0.8654761008,-0.07724513109,0.1710576048,0.2196552732,0.5071734728,1.309235043,positive,Positive,0.6842105263,8.346900382,0.3795611385,0,1
100,Aul.dew,Tro.moo,persistence,NA,NA,NA,NA,NA,-0.5445594283,32.8,72.425,34.45636408,25.72027784,Detritus_feeder,Filamentous_algae_feeder,-0.6873203633,-0.5889214263,-0.5453385842,-0.5445594283,-0.5101099012,-0.3911299388,negative,Negative,1,20.69325828,0.5445594283,1,0
101,Int.loo,Tro.moo,persistence,NA,NA,NA,NA,NA,-0.08095286777,19.7,72.425,15.82143953,25.72027784,Unicellular_algae_feeder,Filamentous_algae_feeder,-0.3584944794,-0.1614666661,-0.09525423977,-0.08095286777,-0.005020985356,0.1671047023,negative,Negative,0.7631578947,3.076208975,0.1108368045,1,0
102,Jul.orn,Tro.moo,persistence,NA,NA,NA,NA,NA,-0.2044898292,23.275,72.425,16.49706656,25.72027784,Sponge_feeder,Filamentous_algae_feeder,-0.5147878793,-0.2832070413,-0.2004560959,-0.2044898292,-0.1144672006,0.0373249806,negative,Negative,0.9473684211,7.770613508,0.2076584609,1,0
103,Lep.att,Tro.moo,persistence,NA,NA,NA,NA,NA,-0.2702772903,3.775,72.425,6.141441825,25.72027784,Fry_feeder,Filamentous_algae_feeder,-0.4487609148,-0.3085695964,-0.2654567229,-0.2702772903,-0.2195580344,-0.1405856534,negative,Negative,1,10.27053703,0.2702772903,1,0
104,Lam.cal,Tro.moo,persistence,NA,NA,NA,NA,NA,0.5554615118,11.55,72.425,10.65291582,25.72027784,Shrimp_feeder,Filamentous_algae_feeder,0.2707557013,0.4669556667,0.558841551,0.5554615118,0.632984459,0.906156213,positive,Positive,1,21.10753745,0.5554615118,0,1
105,Lob.lab,Tro.moo,persistence,NA,NA,NA,NA,NA,-0.2220878713,9.95,72.425,3.296851645,25.72027784,Zoobenthos_feeder,Filamentous_algae_feeder,-0.3692231088,-0.2742127468,-0.2155560231,-0.2220878713,-0.1676606198,-0.0888426243,negative,Negative,1,8.439339111,0.2220878713,1,0
106,Lam.tan,Tro.moo,persistence,NA,NA,NA,NA,NA,-0.1173225211,36.625,72.425,35.79620915,25.72027784,Unicellular_algae_feeder,Filamentous_algae_feeder,-0.2628921979,-0.180459003,-0.1102554192,-0.1173225211,-0.0660898303,0.09521869296,negative,Negative,0.9210526316,4.458255801,0.1242452651,1,0
107,Neo.fas,Tro.moo,persistence,NA,0.05,NA,NA,NA,-0.005453111537,64.1,72.425,16.65763858,25.72027784,Shrimp_feeder,Filamentous_algae_feeder,-0.1577652836,-0.04877826618,-0.009927108372,-0.005453111537,0.02945020185,0.1647322668,negative,Negative,0.5263157895,0.2072182384,0.05016966489,1,0
108,Neo.sex,Tro.moo,persistence,NA,NA,NA,NA,NA,0.2664867678,3.825,72.425,4.012081115,25.72027784,Zoobenthos_feeder,Filamentous_algae_feeder,0.07238538697,0.1929982854,0.2599856919,0.2664867678,0.3585472085,0.5001241606,positive,Positive,1,10.12649717,0.2664867678,0,1
109,Oph.ven,Tro.moo,persistence,NA,NA,NA,NA,NA,0.0005471781897,77.95,72.425,37.39254691,25.72027784,Detritus_feeder,Filamentous_algae_feeder,-0.1263818105,-0.02330376843,0.0103562716,0.0005471781897,0.03096347946,0.08779037764,positive,Positive,0.5789473684,0.02079277121,0.03882186798,0,1
110,Par.spp,Tro.moo,persistence,NA,NA,NA,NA,NA,0.2380947562,54.325,72.425,88.0132238,25.72027784,Zooplankton_feeder,Filamentous_algae_feeder,0.07110250337,0.1783315442,0.2314215638,0.2380947562,0.2849039171,0.4813617171,positive,Positive,1,9.047600735,0.2380947562,0,1
111,Per.mic,Tro.moo,persistence,NA,0.05,NA,NA,NA,-0.2589401384,30.975,72.425,18.58105942,25.72027784,Scale_feeder,Filamentous_algae_feeder,-0.4963595829,-0.331077301,-0.250894608,-0.2589401384,-0.1710464594,-0.03244185395,negative,Negative,1,9.839725259,0.2589401384,1,0
112,Pet.tre,Tro.moo,persistence,NA,NA,NA,NA,NA,0.01999825806,24.675,72.425,8.134722979,25.72027784,Unicellular_algae_feeder,Filamentous_algae_feeder,-0.1344030714,-0.02992275062,0.0144595792,0.01999825806,0.04095981433,0.1915622188,positive,Positive,0.5789473684,0.7599338062,0.05648893995,0,1
113,Aul.dew,Tel.vit,persistence,NA,NA,NA,NA,NA,0.2246951337,32.8,159.55,34.45636408,47.19080202,Detritus_feeder,Filamentous_algae_feeder,-0.06141761647,0.1326706301,0.2385985194,0.2246951337,0.3171335765,0.39382251,positive,Positive,0.9473684211,8.538415082,0.2300316733,0,1
114,Jul.orn,Tel.vit,persistence,NA,NA,NA,NA,NA,0.3290733398,23.275,159.55,16.49706656,47.19080202,Sponge_feeder,Filamentous_algae_feeder,-0.2759362496,0.1356662447,0.3131565177,0.3290733398,0.4434023239,0.9897120265,positive,Positive,0.9736842105,12.50478691,0.3435963003,0,1
115,Lim.dar,Tel.vit,persistence,NA,NA,NA,NA,NA,0.1587931761,9.75,159.55,6.993586806,47.19080202,Unicellular_algae_feeder,Filamentous_algae_feeder,-0.04364645349,0.0701491464,0.1593953237,0.1587931761,0.2182817713,0.4013921242,positive,Positive,0.9210526316,6.034140691,0.1643478563,0,1
116,Neo.fas,Tel.vit,persistence,NA,NA,NA,NA,NA,-0.06454539716,64.1,159.55,16.65763858,47.19080202,Shrimp_feeder,Filamentous_algae_feeder,-0.4059788358,-0.1441185046,-0.07189048871,-0.06454539716,0.05568228123,0.1756976478,negative,Negative,0.6842105263,2.452725092,0.1314500986,1,0
117,Neo.sex,Tel.vit,persistence,NA,NA,NA,NA,NA,-0.167017887,3.825,159.55,4.012081115,47.19080202,Zoobenthos_feeder,Filamentous_algae_feeder,-0.4900045437,-0.2790450197,-0.1828998435,-0.167017887,-0.04539934504,0.2829310544,negative,Negative,0.8421052632,6.346679705,0.2020080198,1,0
118,Pet.pol,Tel.vit,persistence,NA,NA,NA,NA,NA,0.07084842508,7.825,159.55,4.384632254,47.19080202,Unicellular_algae_feeder,Filamentous_algae_feeder,-0.3385232787,-0.01660746358,0.07631919855,0.07084842508,0.1754688613,0.4083130638,positive,Positive,0.7105263158,2.692240153,0.1305059549,0,1
119,Syn.mul,Tel.vit,persistence,NA,NA,NA,NA,NA,0.09717571847,5.275,159.55,4.651922679,47.19080202,Microfilamentous_algae_feeder,Filamentous_algae_feeder,-0.2915475412,-0.00826319051,0.116026667,0.09717571847,0.1822952147,0.4110311687,positive,Positive,0.7368421053,3.692677302,0.1533999059,0,1
120,Lim.dar,Var.moo,persistence,NA,NA,NA,NA,NA,-0.2995307793,9.75,129.15,6.993586806,30.64063834,Unicellular_algae_feeder,Microfilamentous_algae_feeder,-1.20432122,-0.6035662945,-0.2401561227,-0.2995307793,0.007107244849,0.3398992058,negative,Negative,0.7368421053,11.38216961,0.3959854971,1,0
121,Lep.elo,Var.moo,persistence,NA,NA,NA,NA,NA,-0.325080635,12.325,129.15,10.43757389,30.64063834,Fish_feeder,Microfilamentous_algae_feeder,-1.467198293,-0.449492325,-0.2873690026,-0.325080635,-0.0341491439,0.3206334956,negative,Negative,0.7894736842,12.35306413,0.370977765,1,0
122,Oph.ven,Var.moo,persistence,NA,NA,NA,NA,NA,-0.1164808429,77.95,129.15,37.39254691,30.64063834,Detritus_feeder,Microfilamentous_algae_feeder,-1.153112683,-0.3432185715,-0.04911737637,-0.1164808429,0.2096029206,0.6064776212,negative,Negative,0.6052631579,4.426272029,0.3328306561,1,0
123,Tro.moo,Var.moo,persistence,NA,NA,NA,NA,NA,0.226295527,72.425,129.15,25.72027784,30.64063834,Filamentous_algae_feeder,Microfilamentous_algae_feeder,-0.6921053564,-0.0532446018,0.2082780913,0.226295527,0.5443713933,0.8036815449,positive,Positive,0.6842105263,8.599230025,0.3494525561,0,1
124,Lep.att,Xen.pap,persistence,NA,NA,NA,NA,NA,0.9543158663,3.775,5.575,6.141441825,3.29636552,Fry_feeder,Filamentous_algae_feeder,-3.977143905,0.1029224816,0.9138463315,0.9543158663,2.155540459,4.909076037,positive,Positive,0.7631578947,36.26400292,1.473498786,0,1
125,Lam.cal,Xen.pap,persistence,NA,NA,NA,NA,NA,-0.1487942666,11.55,5.575,10.65291582,3.29636552,Shrimp_feeder,Filamentous_algae_feeder,-2.501632691,-1.030633731,-0.1561298223,-0.1487942666,0.581985405,3.215164129,negative,Negative,0.5263157895,5.654182132,0.917895522,1,0
126,Pet.tre,Xen.pap,persistence,NA,NA,NA,NA,NA,0.01145807573,24.675,5.575,8.134722979,3.29636552,Unicellular_algae_feeder,Filamentous_algae_feeder,-2.555721117,-0.4141528307,0.1208602068,0.01145807573,0.6243084007,1.603764221,positive,Positive,0.5526315789,0.4354068779,0.6307820005,0,1
127,Tel.vit,Xen.pap,persistence,NA,NA,NA,NA,NA,0.1189397346,159.55,5.575,47.19080202,3.29636552,Filamentous_algae_feeder,Filamentous_algae_feeder,-1.923821948,-0.5024383086,0.05490813989,0.1189397346,0.5138246822,2.945891569,positive,Positive,0.5263157895,4.519709914,0.7924461408,0,1
128,Var.moo,Xen.pap,persistence,NA,NA,NA,NA,NA,0.05847769625,129.15,5.575,30.64063834,3.29636552,Microfilamentous_algae_feeder,Filamentous_algae_feeder,-0.6834101668,-0.2345050011,0.03165936067,0.05847769625,0.238375981,1.113568201,positive,Positive,0.5526315789,2.222152458,0.3543982635,0,1
